Endereço Completo,Latitude,Longitude,Região
"Rua Antonio Joaquim Mendes, 471, Pirassununga - São Paulo",-21.99611,-47.42583,Pirassununga
"Rua Pascoal Santi, 328, Cabreuva - São Paulo",-23.3075,-47.13278,CABREUVA
"Rua Municipal do Jacu, S/n, Itu - São Paulo",-23.26417,-47.29917,
"Rua do Cafe, 156, Sao Paulo - São Paulo",-23.0406497,-47.0125271,
"Rua das Bandeiras, 17 a, Itapecerica da Serra - São Paulo",-23.71694,-46.84917,
"Rua Aeroporto, 514, Iguape - São Paulo",-24.70806,-47.55528,
"Rua Passo da Patria, 1651, Sao Paulo - São Paulo",-23.5235341,-46.7321923,
"Rua de Taipas, 2549, Sao Paulo - São Paulo",-23.4248896,-46.7161721,
"Rua Ayrton Senna da Silva, S/n - Km 29.5 Mg/sp, Guarulhos - São Paulo",-23.46278,-46.53333,GUARULHOS
"Rua Joao da Cruz e Sousa, 05, Sao Paulo - São Paulo",-23.597507,-46.4300981,SAO PAULO
"Rua Lino Pinto dos Santos, 22 - 26, Sao Paulo - São Paulo",-23.4962277,-46.7268044,SAO PAULO
"Rua Amaro Godinho, 964, Sao Roque - São Paulo",-23.6052592,-47.1651961,SAO ROQUE
"Rua Raimundo Pereira de Magalhaes, 2541, Sao Paulo - São Paulo",-23.5475,-46.63611,SAO PAULO
"Rua Dr Heitor Nascimento, 30, Sao Paulo - São Paulo",-23.496633,-46.7047577,SAO PAULO
"Rua Benedita Dornellas Claro, 151, Sao Paulo - São Paulo",-23.5475,-46.63611,SAO PAULO
"Rua Lucila Rocha, 30, Sao Paulo - São Paulo",-23.5034202,-46.6644538,SAO PAULO
"Avenida Raimundo Pereira De Magalhaes, 14000, Pirituba, São Paulo, São Paulo",-23.4825331,-46.7231692,São Paulo
"Avenida Fundibem, S/N, Jardim Casa Grande, Diadema, São Paulo",-23.7035411,-46.5949433,Diadema
"Rua Ribeiro De Lima, 610, Bom Retiro, São Paulo, São Paulo",-23.5312906,-46.6386411,São Paulo
"Rua Jaguariuna, 644, Distr.Industrial, Holambra, São Paulo",-22.63306,-47.05556,Holambra
"Avenida Pio Xii, 900, Jardim Porto Alegre, Capivari, São Paulo",-22.995,-47.50778,Capivari
"Rua Siqueira Campos, 1923, Centro, Pirassununga, São Paulo",-21.99611,-47.42583,Pirassununga
"Avenida Antonio Joaquim Mendes, 471, Centro, Pirassununga, São Paulo",-21.99611,-47.42583,Pirassununga
"Rua Rafael De Barros, 778, Centro, Leme, São Paulo",-22.1852455,-47.3901636,Leme
"Rua Presidente Prudente, 101, Cidade Jardim, Limeira, São Paulo",-22.56472,-47.40167,Limeira
"Avenida Doutor Adilson Rodrigues, S/N, Jd.Das Samambaias, Jundiaí, São Paulo",-23.18639,-46.88417,Jundiaí
"Rua Nancy Carlota Netto, 501, Parque Residencial Eloy Chaves, Jundiaí, São Paulo",-23.1825474,-46.9630509,Jundiaí
"Rua Rua Jundiai, 380, Jardim Primavera, Itupeva, São Paulo",-23.1548565,-47.0544653,Itupeva
"Avenida Benedito Storani, 347, Centro, Vinhedo, São Paulo",-23.0270563,-46.9783376,Vinhedo
"Avenida Maria Thereza S. De Barros Camargo, 1525, Jardim Santo Andre, Limeira, São Paulo",-23.66389,-46.53833,Santo André
"Avenida Joaquim Lopes Aguilla, 2420, Barra Funda, Leme, São Paulo",-22.18556,-47.39028,Leme
"Rua Perola, 350, Jardim Santa Esmeralda, Hortolândia, São Paulo",-22.9074245,-47.1945135,Hortolândia
"Rua Amambai, 1215, Vila Maria, São Paulo, São Paulo",-23.5177931,-46.5853263,São Paulo
"Rua Cynira Marques Cezar, 100, Sao Judas Tadeu, Santo Antônio De Posse, São Paulo",-22.6073243,-46.9072778,Santo Antônio de Posse
"Avenida Rinaldi, 1100, Res.Coracao De Jesus, Jaguariúna, São Paulo",-22.6761408,-46.9920567,Jaguariúna
"Rua Avenida Antonio Carlos Comitre, 510, Parque Campolim, Sorocaba, São Paulo",-23.52819,-47.46832,Sorocaba
"Rua Dr.Arthur Moreira De Almeida, 384, Vila Sao Jose, Pedreira, São Paulo",-22.7476542,-46.8985023,Pedreira
"Rua Nova York, 570, Brooklin Paulista, São Paulo, São Paulo",-23.5475,-46.63611,São Paulo
"Rua Marcia Pierroni, 78, Itu Novo Centro, Itu, São Paulo",-23.26417,-47.29917,Itu
"Rua Cristovao Diniz, 599, Jardim Do Estadio, Itu, São Paulo",-23.2825872,-47.2874574,Itu
