Veículo,Sequencia,Node_Index_OR,Pedido_Index_DF,ID Pedido,Cliente,Endereço,Demanda,Carga_Acumulada,Janela Início,Janela Fim,RegiaoParaRoteirizacao,Node_Index_OR_Global,Região,Latitude,Longitude,Nº Pedido Original,Alocacao_Restrita,Data_Roteirizacao,Hora_Roteirizacao
DXG5743,1,131,130,3740169,N/A,N/A,60.0,0,05:00,18:00,OUTROS,131,30,-23.4525325,-46.4413987,3740169,True,2025-05-15,10:08:19
HEK9823,2,79,78,3740506,N/A,N/A,20.0,60,05:00,18:00,OUTROS,79,21,-23.60389,-46.91917,3740506,True,2025-05-15,10:08:19
DXG5743,3,149,148,3740329,N/A,N/A,320.0,80,05:00,18:00,OUTROS,149,36,-24.18306,-46.78889,3740329,True,2025-05-15,10:08:19
DXG5743,4,43,42,3740359,N/A,N/A,60.0,400,05:00,18:00,OUTROS,43,9,-23.2460826,-47.0575519,3740359,True,2025-05-15,10:08:19
DXG5743,5,107,106,3740562,N/A,N/A,120.0,460,05:00,18:00,OUTROS,107,27,-23.5578807,-46.3669865,3740562,True,2025-05-15,10:08:19
HEK9823,6,25,24,3740768,N/A,N/A,20.0,580,05:00,18:00,OUTROS,25,3,-23.4953736,-46.9513761,3740768,True,2025-05-15,10:08:19
DXG5743,7,137,136,3740474,N/A,N/A,160.0,600,05:00,18:00,OUTROS,137,30,-23.4390401,-46.5454237,3740474,True,2025-05-15,10:08:19
DXG5743,8,29,28,3740393,N/A,N/A,60.0,760,05:00,18:00,OUTROS,29,4,-23.8376018,-46.1298621,3740393,True,2025-05-15,10:08:19
DXG5743,9,675,674,3740515,N/A,N/A,40.0,820,05:00,18:00,OUTROS,675,79,-22.82194,-47.26694,3740515,True,2025-05-15,10:08:19
DXG5743,10,579,578,3740460,N/A,N/A,20.0,860,05:00,18:00,OUTROS,579,19,-23.5582442,-46.6508379,3740460,True,2025-05-15,10:08:19
DXG5743,11,537,536,3740978,N/A,N/A,2000.0,880,05:00,18:00,OUTROS,537,93,-23.4669058,-46.5811562,3740978,True,2025-05-15,10:08:19
DXG5743,12,181,180,3740215,N/A,N/A,80.0,2880,05:00,18:00,OUTROS,181,43,-23.26417,-47.29917,3740215,True,2025-05-15,10:08:19
DJC8783,1,115,114,3740482,N/A,N/A,240.0,0,05:00,18:00,OUTROS,115,29,-23.99306,-46.25639,3740482,True,2025-05-15,10:08:19
DJC8783,2,53,52,3740518,N/A,N/A,160.0,240,05:00,18:00,OUTROS,53,12,-24.7333484,-48.1094422,3740518,True,2025-05-15,10:08:19
DJC8783,3,102,101,3740823,N/A,N/A,900.0,400,05:00,18:00,OUTROS,102,24,-24.52,-48.10806,3740823,True,2025-05-15,10:08:19
DJC8783,4,66,65,3740759,N/A,N/A,120.0,1300,05:00,18:00,OUTROS,66,16,-24.97232,-47.94529,3740759,True,2025-05-15,10:08:19
DJC8783,5,142,141,3740232,N/A,N/A,235.0,1420,05:00,18:00,OUTROS,142,34,-24.70806,-47.55528,3740232,True,2025-05-15,10:08:19
DJC8783,6,31,30,3740389,N/A,N/A,60.0,1655,05:00,18:00,OUTROS,31,4,-23.85444,-46.13861,3740389,True,2025-05-15,10:08:19
DJC8783,7,114,113,3740465,N/A,N/A,200.0,1715,05:00,18:00,OUTROS,114,29,-23.9999291,-46.273905,3740465,True,2025-05-15,10:08:19
DJC8783,8,32,31,3740463,N/A,N/A,500.0,1915,05:00,18:00,OUTROS,32,4,-23.85444,-46.13861,3740463,True,2025-05-15,10:08:19
DJC8783,9,103,102,3740894,N/A,N/A,95.0,2415,05:00,18:00,OUTROS,103,24,-24.52,-48.10806,3740894,True,2025-05-15,10:08:19
DJC8783,10,67,66,3740382,N/A,N/A,130.0,2510,05:00,18:00,OUTROS,67,16,-25.0069457,-47.9313292,3740382,True,2025-05-15,10:08:19
DJC8783,11,65,64,3740603,N/A,N/A,205.0,2640,05:00,18:00,OUTROS,65,16,-25.0069457,-47.9313292,3740603,True,2025-05-15,10:08:19
DJC8783,12,120,119,3740927,N/A,N/A,100.0,2845,05:00,18:00,OUTROS,120,30,-23.43149,-46.51214,3740927,True,2025-05-15,10:08:19
CVP8461,1,123,122,3740491,N/A,N/A,40.0,0,05:00,18:00,OUTROS,123,30,-23.4598137,-46.5328666,3740491,True,2025-05-15,10:08:19
CVP8461,2,75,74,3740989,N/A,N/A,80.0,40,05:00,18:00,OUTROS,75,3,-23.5340401,-46.8534601,3740989,True,2025-05-15,10:08:19
CVP8461,3,125,124,3740493,N/A,N/A,55.0,120,05:00,18:00,OUTROS,125,30,-23.4598137,-46.5328666,3740493,True,2025-05-15,10:08:19
HEK9823,4,18,17,3740646,N/A,N/A,360.0,175,05:00,18:00,OUTROS,18,3,-23.51056,-46.87611,3740646,True,2025-05-15,10:08:19
CVP8461,5,116,115,3740595,N/A,N/A,100.0,535,05:00,18:00,OUTROS,116,29,-23.99306,-46.25639,3740595,True,2025-05-15,10:08:19
CVP8461,6,95,94,3740464,N/A,N/A,300.0,635,05:00,18:00,OUTROS,95,22,-23.895,-46.42528,3740464,True,2025-05-15,10:08:19
CVP8461,7,165,164,3740357,N/A,N/A,140.0,935,05:00,18:00,OUTROS,165,41,-23.48611,-46.34833,3740357,True,2025-05-15,10:08:19
CVP8461,8,69,68,3740816,N/A,N/A,120.0,1075,05:00,18:00,OUTROS,69,18,-23.6946544,-45.4422191,3740816,True,2025-05-15,10:08:19
CVP8461,9,194,193,3740206,N/A,N/A,60.0,1195,05:00,18:00,OUTROS,194,45,-23.2639515,-45.9453678,3740206,True,2025-05-15,10:08:19
CVP8461,10,56,55,3740758,N/A,N/A,240.0,1255,05:00,18:00,OUTROS,56,12,-24.73611,-48.12278,3740758,True,2025-05-15,10:08:19
CVP8461,11,54,53,3740350,N/A,N/A,620.0,1495,05:00,18:00,OUTROS,54,12,-24.7204053,-48.0979843,3740350,True,2025-05-15,10:08:19
CVP8461,12,55,54,3740240,N/A,N/A,300.0,2115,05:00,18:00,OUTROS,55,12,-24.7404227,-48.121226,3740240,True,2025-05-15,10:08:19
CVP8461,13,154,153,3740961,N/A,N/A,20.0,2415,05:00,18:00,OUTROS,154,37,-23.71694,-46.84917,3740961,True,2025-05-15,10:08:19
HEK9823,14,27,26,3740748,N/A,N/A,140.0,2435,05:00,18:00,OUTROS,27,3,-23.51056,-46.87611,3740748,True,2025-05-15,10:08:19
DAJ6915,1,128,127,3740612,N/A,N/A,60.0,0,05:00,18:00,OUTROS,128,30,-23.46278,-46.53333,3740612,True,2025-05-15,10:08:19
DAJ6915,2,39,38,3740601,N/A,N/A,75.0,60,05:00,18:00,OUTROS,39,8,-22.9806161,-46.5299192,3740601,True,2025-05-15,10:08:19
DAJ6915,3,197,196,3740284,N/A,N/A,150.0,135,05:00,18:00,OUTROS,197,45,-23.3038095,-45.9691587,3740284,True,2025-05-15,10:08:19
ETV0944,4,655,654,3740143,N/A,N/A,1485.0,285,05:00,18:00,OUTROS,655,78,-23.52819,-47.46832,3740143,True,2025-05-15,10:08:19
DAJ6915,5,110,109,3740331,N/A,N/A,200.0,1770,05:00,18:00,OUTROS,110,29,-23.9830219,-46.2060406,3740331,True,2025-05-15,10:08:19
DAJ6915,6,93,92,3740455,N/A,N/A,500.0,1970,05:00,18:00,OUTROS,93,22,-23.895,-46.42528,3740455,True,2025-05-15,10:08:19
DAJ6915,7,113,112,3740391,N/A,N/A,60.0,2470,05:00,18:00,OUTROS,113,29,-23.9999291,-46.273905,3740391,True,2025-05-15,10:08:19
HEK9823,8,19,18,3740765,N/A,N/A,100.0,2530,05:00,18:00,OUTROS,19,3,-23.5025874,-46.8674979,3740765,True,2025-05-15,10:08:19
HEK9823,9,26,25,3740399,N/A,N/A,300.0,2630,05:00,18:00,OUTROS,26,3,-23.4928532,-46.880312,3740399,True,2025-05-15,10:08:19
EFW2915,1,109,108,3740337,N/A,N/A,500.0,0,05:00,18:00,OUTROS,109,10,-23.3344663,-46.7254136,3740337,True,2025-05-15,10:08:19
EFW2915,2,63,62,3740708,N/A,N/A,355.0,500,05:00,18:00,OUTROS,63,14,-23.2104628,-46.7946342,3740708,True,2025-05-15,10:08:19
