Endereço,Latitude,Longitude
"Rua Araújo Leite, 146, Centro, Piedade",-23.71194,-47.42778
"Rua DOS ALPES, 1.109, Barcelona, Sorocaba",-23.50167,-47.45806
"Rua BAYARD NOBREGA DE ALMEIDA, 91, JARDIM PRESTES DE BARROS, Sorocaba",-23.5095349,-47.4311572
"Rua BARAO DE TATUI, 1368, JARDIM VERGUEIRO, Sorocaba",-23.50167,-47.45806
"Rua FERNANDO SILVA, 110, Jd Astro, Sorocaba",-23.50167,-47.45806
"Avenida ANTONIO CORREA DA SILVA, 432, Centro, Piedade",-23.71194,-47.42778
"Rua CORONEL NOGUEIRA PADILHA, 2112, VILA HORTENCIA, Sorocaba",-23.50167,-47.45806
"Rua AVENIDA ANTONIO CARLOS COMITRE, 510, Parque Campolim, Sorocaba",-23.52819,-47.46832
"Rua CORONEL NOGUEIRA PADILHA, 1273, VILA HORTENCIA, Sorocaba",-23.50167,-47.45806
"Rua DOUTOR CAMPOS SALLES, 663, VILA ASSIS, Sorocaba",-23.50167,-47.45806
"Avenida CRUZEIRO DO SUL, 1009, Rochdale, Osasco",-23.5065319,-46.7772184
"Rua PROFESSORA ADELAIDE ESCOBAR BUENO, 397, Munhoz Junior, Osasco",-23.4982773,-46.8038889
"Rua CAMPINA GRANDE, 383, Rochdale, Osasco",-23.5141787,-46.7807649
"Rua PORTO ALEGRE, 540, Rochdale, Osasco",-23.5119988,-46.779681
"Rua JOAQUIM SEVERINO ALVES, 48, Vila Menk, Osasco",-23.5325,-46.79167
"Rua MARIO QUINTANA, 260, Recanto das Rosas, Osasco",-23.5807046,-46.8147375
"Rua PROFESSOR JOSE AZEVEDO MINHOTO, 378, VILA QUITAUNA (KM18), Osasco",-23.5294697,-46.7941962
"Rua PARANAENSE, 878, JARDIM CONCEICAO, Osasco",-23.5784665,-46.8019092
"Rua PARDINHO, 145, Munhoz Junior, Osasco",-23.5021898,-46.8040452
