CNPJ,Endereço Completo,Latitude,Longitude,Região
,"Rua BENEDITO FERNANDES, 270, Santo Amaro, São Paulo, São Paulo",-23.6610006,-46.7093906,
,"Avenida RUDGE, 500, Bom Retiro, São Paulo, São Paulo",-23.523624,-46.6500239,
,"Rua PADRE ADELINO, 685, Belém, São Paulo, São Paulo",-23.5439803,-46.5838146,
,"Avenida CASSIANO RICARDO, 1993, Jardim Alvorada, São José dos Campos, São Paulo",-23.2280037,-45.9124721,
,"Rodovia RAPOSO TAVARES, 23033, Granja Viana, Cotia, São Paulo",-23.5996855,-46.8473029,
,"Avenida ENGENHEIRO GEORGE CORBISIER, 273, Jabaquara, São Paulo, São Paulo",-23.6392403,-46.6419503,
,"Rua Benedito Egídio Barbosa, 11, Vila Brasilândia, São Paulo, São Paulo",-23.4598445,-46.6986945,
,"Avenida CARLOS LIVIERO, 942, Vila Liviero, São Paulo, São Paulo",-23.6463226,-46.5955091,
,"Avenida AFONSO PENA, 336, Macuco, Santos, São Paulo",-23.9671384,-46.3076691,
,"Rua CARLOS OLIVEIRA RODRIGUES, 101, Jardim Josane, Sorocaba, São Paulo",-23.4520305,-47.3701706,
,"Avenida PREF. JORGE FRANCISCO CORREIA ALLEN, 575, Centro, Poá, São Paulo",-23.52806,-46.34472,
,"Rua Paim, 201, Bela Vista, São Paulo, São Paulo",-23.5544616,-46.6500849,
,"Rua OSVALDO RAMOS, 100, Parque Mikail, Guarulhos, São Paulo",-23.46278,-46.53333,
,"Estrada DO COPIUVA, 1985, Vila da Oportunidade, Carapicuíba, São Paulo",-23.5539916,-46.8262051,
,"Rodovia ENGENHEIRO RENE BENEDITO DA SILVA, 668, SAO JOAO, Itapevi, São Paulo",-23.54889,-46.93417,
,"Rodovia REGIS BITENCOURT KM 293,5, S/N, POTUPEVA, Itapecerica da Serra, São Paulo",-23.71694,-46.84917,
,"Avenida NOSSA SENHORA DA LAPA, 22, Vila Nova, Cubatão, São Paulo",-23.895,-46.42528,
,"Rua MAGALI WASSEL, 25, Jardim Itacolomi, Itapevi, São Paulo",-23.54889,-46.93417,
,"Avenida CARMINE GRAGNANO, 798, Centro, Jandira, São Paulo",-23.5266948,-46.8948766,
,"Rua DOLORES DE AQUINO, 1925, Jundiapeba, Mogi das Cruzes, São Paulo",-23.5453399,-46.2583235,
,"Rua OTAVIO RODRIGUES BARBOSA, 219, VILA ROMANOPOLIS, Ferraz de Vasconcelos, São Paulo",-23.541155,-46.365145,
,"Avenida INACIO CUNHA LEME, 301, Jardim Suzana, São Paulo, São Paulo",-23.5475,-46.63611,
,"Rua HERBART, 47, Lapa, São Paulo, São Paulo",-23.5194474,-46.7012017,
,"Rua AMAMBAI, 1215, Vila Maria, São Paulo, São Paulo",-23.5177931,-46.5853263,
,"Avenida MATHEUS CONEGERO, 170, Pq. Bela Vista, Votorantim, São Paulo",-23.5424617,-47.4634582,
,"Rua DA PRATA, 349, Jardim dos Camargos, Barueri, São Paulo",-23.5025874,-46.8674979,
,"Rua DOLORES DE AQUINO, 640, Jundiapeba, Mogi das Cruzes, São Paulo",-23.5441947,-46.2634901,
,"Rua SEBASTIÃO RIBEIRO, 28, Jardim Sta.Lucia-Capão Redondo, São Paulo, São Paulo",-23.6629,-47.6209,
,"Rua Martim Afonso, 210, Jardim Piratininga, Osasco, São Paulo",-23.5198227,-46.7936859,
,"Rua PROFESSOR TOLEDO, 194, Centro, Araçoiaba da Serra, São Paulo",-23.5050525,-47.6182181,
,"Avenida MUTINGA, 2426, Pirituba, São Paulo, São Paulo",-23.4873078,-46.7354848,
,"Avenida Marechal Tito, 6829, Itaim Paulista, São Paulo, São Paulo",-23.4927223,-46.3885539,
,"Avenida DR.ALIPIO FERREIRA, 676, Centro, Piracaia, São Paulo",-23.0538678,-46.3498227,
,"Praça 14 Bis, 26, Bela Vista, São Paulo, São Paulo",-23.5554462,-46.650081,
